,product_name,link, product_images,price,details,color,brand
6,SWEATSHIRT WITH PRINTED SLOGANS,https://www.zara.com/in/en/sweatshirt-with-printed-slogans-p00722355.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0722/355/802/2/w/448/0722355802_1_1_1.jpg?ts=1692951281874': 'Image 0 of SWEATSHIRT WITH PRINTED SLOGANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0722/355/802/2/w/448/0722355802_2_1_1.jpg?ts=1692951290853': 'Image 1 of SWEATSHIRT WITH PRINTED SLOGANS from Zara'}]",2990,Loose-fitting sweatshirt with a round neck and short sleeves. Featuring a contrast slogan print all over the garment.,blue,adidas
9,SWEATSHIRT WITH EMBROIDERY AND SLOGANS,https://www.zara.com/in/en/sweatshirt-with-embroidery-and-slogans-p06224297.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/297/251/2/w/448/6224297251_1_1_1.jpg?ts=1692960481437': 'Image 0 of SWEATSHIRT WITH EMBROIDERY AND SLOGANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/297/251/2/w/448/6224297251_2_1_1.jpg?ts=1692960481868': 'Image 1 of SWEATSHIRT WITH EMBROIDERY AND SLOGANS from Zara'}]",2990,Round neck sweatshirt with short sleeves. Contrast embroidery and prints on the front and back. Ribbed trims.,white,puma
14,ACID WASH PRINT T-SHIRT,https://www.zara.com/in/en/acid-wash-print-t-shirt-p06224390.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/390/519/2/w/448/6224390519_6_1_1.jpg?ts=1692862509221': 'Image 0 of ACID WASH PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/390/519/2/w/448/6224390519_6_2_1.jpg?ts=1692862509873': 'Image 1 of ACID WASH PRINT T-SHIRT from Zara'}]",2290,"Acid wash T-shirt with round neck and short sleeves.The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.View more",green,puma
15,SLOGAN PRINT T-SHIRT,https://www.zara.com/in/en/slogan-print-t-shirt-p06224391.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/391/807/2/w/448/6224391807_6_1_1.jpg?ts=1692718467568': 'Image 0 of SLOGAN PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/391/807/2/w/448/6224391807_6_2_1.jpg?ts=1692715182490': 'Image 1 of SLOGAN PRINT T-SHIRT from Zara'}]",2290,Faded T-shirt with a round neck and short sleeves. Contrast print on the front.,black,nike
16,BASIC SLIM FIT T-SHIRT,https://www.zara.com/in/en/basic-slim-fit-t-shirt-p05584461.html,"[{'https://static.zara.net/photos///2023/V/0/1/p/5584/461/250/2/w/448/5584461250_2_1_1.jpg?ts=1675790634469': 'Image 0 of BASIC SLIM FIT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/V/0/1/p/5584/461/250/2/w/448/5584461250_2_2_1.jpg?ts=1675790639049': 'Image 1 of BASIC SLIM FIT T-SHIRT from Zara'}]",990,Stretch cotton T-shirt featuring a round neck and short sleeves.,white,adidas
31,SLOGAN PRINT T-SHIRT,https://www.zara.com/in/en/slogan-print-t-shirt-p01165315.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1165/315/643/2/w/448/1165315643_1_1_1.jpg?ts=1692780184438': 'Image 0 of SLOGAN PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1165/315/643/2/w/448/1165315643_2_1_1.jpg?ts=1692780185667': 'Image 1 of SLOGAN PRINT T-SHIRT from Zara'}]",2290,Loose-fitting T-shirt with a round neck and short sleeves. Contrast front print.,yellow,zara
33,WATERCOLOUR PRINT T-SHIRT,https://www.zara.com/in/en/watercolour-print-t-shirt-p00495335.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0495/335/251/2/w/448/0495335251_1_1_1.jpg?ts=1692786484399': 'Image 0 of WATERCOLOUR PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0495/335/251/2/w/448/0495335251_2_1_1.jpg?ts=1692786484748': 'Image 1 of WATERCOLOUR PRINT T-SHIRT from Zara'}]",2290,Oversize round neck T-shirt with short sleeves. Contrast prints on the front and back.,white,puma
37,PREMIUM SWEATSHIRT,https://www.zara.com/in/en/premium-sweatshirt-p00761438.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0761/438/401/2/w/448/0761438401_1_1_1.jpg?ts=1692951284259': 'Image 0 of PREMIUM SWEATSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0761/438/401/2/w/448/0761438401_2_1_1.jpg?ts=1692951288530': 'Image 1 of PREMIUM SWEATSHIRT from Zara'}]",2590,Loose-fitting sweatshirt with a wide ribbed neck and short sleeves.,blue,nike
45,RIBBED SWEATSHIRT,https://www.zara.com/in/en/ribbed-sweatshirt-p05039501.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5039/501/251/2/w/448/5039501251_1_1_1.jpg?ts=1692956951377': 'Image 0 of RIBBED SWEATSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5039/501/251/2/w/0/5039501251_2_1_1.jpg?ts=1692956953102': 'Image 1 of RIBBED SWEATSHIRT from Zara'}]",2990,Short sleeve sweatshirt with a round neck.,white,adidas
47,TEXTURED T-SHIRT,https://www.zara.com/in/en/textured-t-shirt-p03992324.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3992/324/707/2/w/448/3992324707_1_1_1.jpg?ts=1690536390808': 'Image 0 of TEXTURED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3992/324/707/2/w/448/3992324707_2_1_1.jpg?ts=1690536390543': 'Image 1 of TEXTURED T-SHIRT from Zara'}]",2590,Round neck T-shirt with short sleeves.,yellow,zara
